Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2023,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"15,215",223.2
2023,March,B Property and deception offences,B40 Theft,B46 Fare evasion,30,0.4
2023,March,B Property and deception offences,B40 Theft,B49 Other theft,"43,701",641.2
2023,March,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"2,549",37.4
2023,March,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,11,0.2
2023,March,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"25,421",373.0
2023,March,B Property and deception offences,B50 Deception,B54 State false information,732,10.7
2023,March,B Property and deception offences,B50 Deception,B55 Deceptive business practices,10,0.1
2023,March,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,81,1.2
2023,March,B Property and deception offences,B50 Deception,B59 Other deception offences,586,8.6
2023,March,B Property and deception offences,B60 Bribery,B61 Bribery of officials,2,0.0
2023,March,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,53,0.8
2023,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"4,029",59.1
2023,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,888,13.0
2023,March,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,2,0.0
2023,March,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,"1,049",15.4
2023,March,C Drug offences,C30 Drug use and possession,C31 Drug use,205,3.0
2023,March,C Drug offences,C30 Drug use and possession,C32 Drug possession,"24,759",363.3
2023,March,C Drug offences,C90 Other drug offences,C99 Other drug offences,316,4.6
2023,March,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"5,296",77.7
2023,March,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"10,007",146.8
2023,March,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,387,5.7
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,"2,218",32.5
